order_number,timestamp,filename
JP184H03GE00,2020-05-17 09:38:58.472940,MVNCGT-0213-JP184H03GE00AB_orig.SLDPRT
JP184HH44B00,2020-05-17 09:38:58.678624,MVNCGT-0211-JP184HH44B00AA_orig.x_t
JP184HU97R00,2020-05-17 09:38:58.915783,MVNCGT-0210-JP184HU97R00AA_orig.x_t
JP184HR3J300,2020-05-17 09:38:59.114583,MVNCGT-0209-JP184HR3J300AA_orig.x_t
JP184HWS1300,2020-05-17 09:38:59.376148,MVNCGT-0214-JP184HWS1300AB_orig.stp
JP184HYMWC00,2020-05-17 09:38:59.692319,MVNCGT-0215-JP184HYMWC00AB_orig.stp
JP184H8P3Z00,2020-05-17 09:38:59.980193,MVNCGT-0220-JP184H8P3Z00AB_orig.stp
JP184H052X00,2020-05-17 09:39:00.276040,MVNCGT-0219-JP184H052X00AB_orig.stp
JP184HYRNZ00,2020-05-17 09:39:00.581798,MVNCGT-0221-JP184HYRNZ00AA_orig.stp
JP184H2D4D00,2020-05-17 09:39:00.944071,MVNCGT-0217-JP184H2D4D00AA_orig.stp
JP184H821300,2020-05-17 09:39:01.225582,MVNCGT-0218-JP184H821300AB_orig.stp
JP184JT4ZN00,2020-05-17 09:39:01.462300,MVNCGT-0258-JP184JT4ZN00AB_orig.STEP
JP184J01RG00,2020-05-17 09:39:01.664829,MVNCGT-0257-JP184J01RG00AB_orig.STEP
JP184JM2ZW00,2020-05-17 09:39:01.923284,MVNCGT-0259-JP184JM2ZW00AA_orig.STEP
JP184JFXEA00,2020-05-17 09:39:02.141475,MVNCGT-0247-JP184JFXEA00AB_orig.x_t
JP184JK4C300,2020-05-17 09:39:02.412486,MVNCGT-0252-JP184JK4C300AB_orig.SLDPRT
JP184JL1BG00,2020-05-17 09:39:02.676727,MVNCGT-0253-JP184JL1BG00AB_orig.SLDPRT
JP184JT40300,2020-05-17 09:39:02.877545,MVNCGT-0246-JP184JT40300AA_orig.x_t
JP184J33U300,2020-05-17 09:39:03.145493,MVNCGT-0260-JP184J33U300AB_orig.stp
JP184J28E500,2020-05-17 09:39:03.576239,MVNCGT-0261-JP184J28E500AB_orig.stp
JP184J8PM800,2020-05-17 09:39:03.968058,MVNCGT-0255-JP184J8PM800AB_orig.SLDPRT
JP184JGY2Z00,2020-05-17 09:39:04.347837,MVNCGT-0254-JP184JGY2Z00AB_orig.SLDPRT
JP184KKGL600,2020-05-17 09:39:04.672026,MVNCGT-0278-JP184KKGL600AB_orig.STEP
JP184KMSLF00,2020-05-17 09:39:04.964038,MVNCGT-0263-JP184KMSLF00AB_orig.step
JP184K324L00,2020-05-17 09:39:05.266208,MVNCGT-0280-JP184K324L00AB_orig.SLDPRT
JP184K4WSK00,2020-05-17 09:39:05.470269,MVNCGT-0264-JP184K4WSK00AB_orig.jt
